Skill Name,SKILL.md Lines,Primary Content Categories,Existing Resources,Has Templates?,Recommended Modularization,Priority
agent-patterns,307,"Pattern brainstorming, Prompt chaining, Routing, Parallelization, Orchestrator-workers, Evaluator-optimizer, Autonomous agents, Tool development, Language-specific guidance","patterns-reference.md, tool-design.md",Yes,"Extract language templates into individual files; Create pattern decision trees; Build implementation examples per language",Medium
avalonia,760,"MVVM architecture, XAML layouts, Data binding, Styling & theming, Custom controls, Reactive programming, Cross-platform considerations, Performance optimization, Common patterns, Testing, Debugging","controls-reference.md, styling-guide.md, platform-specific.md",No,"Create component library guide; Separate platform-specific implementations; Extract control examples; Modularize by platform (Windows, macOS, Linux, Web, Mobile)",High
azure-devops,838,"Azure Boards (work items, queries), Azure Repos (Git, PRs, branches), Azure Pipelines (builds, releases, agents), Test Plans, Artifacts, Organization & project management, Security & identity, Extensions, Error handling, Rate limiting",None,No,"Modularize by service (Boards, Repos, Pipelines, Test); Create endpoint reference cards; Add WIQL query templates; Extract authentication guide; Build permission matrix",High
azure-swa,1365,"Architecture patterns, Project structure, Configuration (routing, auth, headers), API integration with Azure Functions, Authentication (providers, roles, custom), Environment variables, Deployment (GitHub Actions, CLI), Custom domains & SSL, Monitoring, Troubleshooting",None,No,"Extract configuration patterns; Create framework-specific deployment templates; Modularize auth strategies; Separate monitoring guide; Create deployment playbooks by framework",High
blazor-blog-feature,821,"Architecture overview, Implementation steps, Shared models, NuGet packages, Azure File Share service, Azure Functions, Dependency injection, Blazor components, CSS styling, Local settings, Sample posts, Testing, Deployment, Troubleshooting",None,Yes,"Create reusable storage service library; Extract component templates; Create configuration generator tool; Separate deployment guide; Build testing patterns",High
blazor-expert,639,"Hosting models (Server/WASM/Hybrid), Component development, Lifecycle methods, Parameter handling, State management, Cascading values, Service-based state, Data binding, Event handling, Forms & validation, JavaScript interop, Routing, Authentication",None,No,"Separate hosting models into individual guides; Create component pattern library; Extract JS interop examples; Build state management patterns; Create form patterns guide",High
dotnet-aspire,478,"Overview, Workflow (analysis, clarification, implementation), Project analysis, AppHost setup, ServiceDefaults configuration, Service orchestration, Configuration management, Telemetry, Resource provisioning","components.md, deployment.md",No,"Create service identification checklist; Extract orchestration patterns; Build configuration templates; Create troubleshooting guide; Add best practices section",Medium
fine-tuning-data-generator,234,"Requirements gathering, Data generation plan, Synthetic data generation, ChatML format, Quality standards, Batch generation strategy, Framework integration (Unsloth, Axolotl), Validation, Troubleshooting","chatml-format.md, examples.md",Yes,"Create domain-specific example libraries; Build generation parameter templates; Extract quality checklist; Add more diverse domain examples; Create validation utilities",Medium
freeagent-api,353,"API basics (authentication, requests), Common operations (CRUD), Response format, Error handling, Rate limiting, Best practices, Environment setup, Python examples, Pagination, Filtering","endpoints.md, examples.md",Yes,"Create resource-specific operation guides; Build request/response template library; Extract OAuth flow diagrams; Add workflow examples; Create troubleshooting matrix",Medium
genaiscript,723,"Core concepts, Prompt creation ($), Context definition (def), Script metadata, Functions, Agents & tools, File processing, Schema & validation, Output generation, Debugging, Best practices","api-reference.md, examples.md, patterns.md",No,"Separate file processing types; Extract tool definition patterns; Create agent architecture guide; Build prompt engineering patterns; Extract schema validation examples",High
